ID,Atividade,Área,Responsável,Data Início,Data Fim,Status,Categoria,Criticidade,Observações
PREP-001,Isolamento Elétrico Geral,Subestação,João Silva,2025-01-15,2025-01-16,concluida,Elétrica,alta,Isolamento realizado com sucesso
PREP-002,Drenagem do Sistema,Caldeira,Maria Santos,2025-01-16,2025-01-17,concluida,Logística,média,Drenagem completa
PREP-003,Retirada de Refratário,Fornos,Carlos Lima,2025-01-17,2025-01-20,em_andamento,Refratário,alta,30% concluído
PREP-004,Inspeção Visual Inicial,Geral,Ana Costa,2025-01-18,2025-01-19,pendente,Inspeção,baixa,Aguardando liberação
PREP-005,Montagem de Andaimes,Caldeira,Pedro Oliveira,2025-01-19,2025-01-22,atrasada,Logística,média,Atraso de 2 dias por material
PREP-006,Teste de Estanqueidade,Tubulações,Luiz Ferreira,2025-01-20,2025-01-21,critica,Testes,alta,Vazamento detectado
PREP-007,Limpeza das Áreas,Geral,Equipe Limpeza,2025-01-21,2025-01-23,em_andamento,Limpeza,baixa,50% concluído
PREP-008,Preparação de Ferramentas,Oficina,Roberto Santos,2025-01-22,2025-01-23,concluida,Logística,média,Todas as ferramentas prontas
PREP-009,Sinalização de Segurança,Geral,Equipe Segurança,2025-01-23,2025-01-24,em_andamento,Segurança,alta,75% concluído
PREP-010,Reunião de Briefing,Sala de Controle,Coordenação,2025-01-24,2025-01-24,pendente,Planejamento,média,Agendada para manhã
